,Fecha,Latitud,Longitud,SST,Mes,Año
1,1981-09-01,31.375,-114.875,30.685,9,1981
368,1981-10-01,31.375,-114.875,25.04774,10,1981
735,1981-11-01,31.375,-114.875,21.123,11,1981
1102,1981-12-01,31.375,-114.875,17.10548,12,1981
1469,1982-01-01,31.375,-114.875,15.60032,1,1982
1836,1982-02-01,31.375,-114.875,14.79786,2,1982
2203,1982-03-01,31.375,-114.875,16.05,3,1982
2570,1982-04-01,31.375,-114.875,17.78167,4,1982
2937,1982-05-01,31.375,-114.875,20.51806,5,1982
3304,1982-06-01,31.375,-114.875,22.02267,6,1982
3671,1982-07-01,31.375,-114.875,24.44677,7,1982
4038,1982-08-01,31.375,-114.875,26.75161,8,1982
4405,1982-09-01,31.375,-114.875,27.36733,9,1982
4772,1982-10-01,31.375,-114.875,25.04129,10,1982
5139,1982-11-01,31.375,-114.875,20.64167,11,1982
5506,1982-12-01,31.375,-114.875,18.21903,12,1982
5873,1983-01-01,31.375,-114.875,16.41742,1,1983
6240,1983-02-01,31.375,-114.875,16.19857,2,1983
6607,1983-03-01,31.375,-114.875,18.01387,3,1983
6974,1983-04-01,31.375,-114.875,19.312,4,1983
7341,1983-05-01,31.375,-114.875,21.6771,5,1983
7708,1983-06-01,31.375,-114.875,24.882,6,1983
8075,1983-07-01,31.375,-114.875,27.18484,7,1983
8442,1983-08-01,31.375,-114.875,31.14419,8,1983
8809,1983-09-01,31.375,-114.875,30.61967,9,1983
9176,1983-10-01,31.375,-114.875,27.12226,10,1983
9543,1983-11-01,31.375,-114.875,23.36667,11,1983
9910,1983-12-01,31.375,-114.875,17.41032,12,1983
10277,1984-01-01,31.375,-114.875,16.50355,1,1984
10644,1984-02-01,31.375,-114.875,16.61,2,1984
11011,1984-03-01,31.375,-114.875,18.32161,3,1984
11378,1984-04-01,31.375,-114.875,19.682,4,1984
11745,1984-05-01,31.375,-114.875,22.9171,5,1984
12112,1984-06-01,31.375,-114.875,25.634,6,1984
12479,1984-07-01,31.375,-114.875,29.68903,7,1984
12846,1984-08-01,31.375,-114.875,31.97871,8,1984
13213,1984-09-01,31.375,-114.875,31.101,9,1984
13580,1984-10-01,31.375,-114.875,26.35193,10,1984
13947,1984-11-01,31.375,-114.875,21.52833,11,1984
14314,1984-12-01,31.375,-114.875,16.93419,12,1984
14681,1985-01-01,31.375,-114.875,14.79,1,1985
15048,1985-02-01,31.375,-114.875,15.17071,2,1985
15415,1985-03-01,31.375,-114.875,17.21355,3,1985
15782,1985-04-01,31.375,-114.875,19.85433,4,1985
16149,1985-05-01,31.375,-114.875,22.68613,5,1985
16516,1985-06-01,31.375,-114.875,24.95967,6,1985
16883,1985-07-01,31.375,-114.875,28.43774,7,1985
17250,1985-08-01,31.375,-114.875,29.88839,8,1985
17617,1985-09-01,31.375,-114.875,28.86733,9,1985
17984,1985-10-01,31.375,-114.875,26.09645,10,1985
18351,1985-11-01,31.375,-114.875,22.311,11,1985
18718,1985-12-01,31.375,-114.875,17.42806,12,1985
19085,1986-01-01,31.375,-114.875,16.46581,1,1986
19452,1986-02-01,31.375,-114.875,16.95964,2,1986
19819,1986-03-01,31.375,-114.875,19.20677,3,1986
20186,1986-04-01,31.375,-114.875,20.525,4,1986
20553,1986-05-01,31.375,-114.875,22.89097,5,1986
20920,1986-06-01,31.375,-114.875,25.21667,6,1986
21287,1986-07-01,31.375,-114.875,28.13355,7,1986
21654,1986-08-01,31.375,-114.875,29.84516,8,1986
22021,1986-09-01,31.375,-114.875,28.952,9,1986
22388,1986-10-01,31.375,-114.875,25.19258,10,1986
22755,1986-11-01,31.375,-114.875,21.717,11,1986
23122,1986-12-01,31.375,-114.875,17.90452,12,1986
23489,1987-01-01,31.375,-114.875,15.46516,1,1987
23856,1987-02-01,31.375,-114.875,15.835,2,1987
24223,1987-03-01,31.375,-114.875,17.36355,3,1987
24590,1987-04-01,31.375,-114.875,20.28,4,1987
24957,1987-05-01,31.375,-114.875,23.19968,5,1987
25324,1987-06-01,31.375,-114.875,24.93233,6,1987
25691,1987-07-01,31.375,-114.875,26.90355,7,1987
26058,1987-08-01,31.375,-114.875,29.33,8,1987
26425,1987-09-01,31.375,-114.875,29.46933,9,1987
26792,1987-10-01,31.375,-114.875,27.94935,10,1987
27159,1987-11-01,31.375,-114.875,22.93367,11,1987
27526,1987-12-01,31.375,-114.875,18.33161,12,1987
27893,1988-01-01,31.375,-114.875,15.22645,1,1988
28260,1988-02-01,31.375,-114.875,15.22414,2,1988
28627,1988-03-01,31.375,-114.875,17.33258,3,1988
28994,1988-04-01,31.375,-114.875,20.333,4,1988
29361,1988-05-01,31.375,-114.875,22.28032,5,1988
29728,1988-06-01,31.375,-114.875,25.07333,6,1988
30095,1988-07-01,31.375,-114.875,28.51484,7,1988
30462,1988-08-01,31.375,-114.875,29.82355,8,1988
30829,1988-09-01,31.375,-114.875,29.39367,9,1988
31196,1988-10-01,31.375,-114.875,27.30064,10,1988
31563,1988-11-01,31.375,-114.875,23.43,11,1988
31930,1988-12-01,31.375,-114.875,17.40806,12,1988
32297,1989-01-01,31.375,-114.875,15.33323,1,1989
32664,1989-02-01,31.375,-114.875,15.41643,2,1989
33031,1989-03-01,31.375,-114.875,17.71871,3,1989
33398,1989-04-01,31.375,-114.875,21.40767,4,1989
33765,1989-05-01,31.375,-114.875,23.25581,5,1989
34132,1989-06-01,31.375,-114.875,25.633,6,1989
34499,1989-07-01,31.375,-114.875,28.95677,7,1989
34866,1989-08-01,31.375,-114.875,30.74323,8,1989
35233,1989-09-01,31.375,-114.875,29.475,9,1989
35600,1989-10-01,31.375,-114.875,26.74323,10,1989
35967,1989-11-01,31.375,-114.875,21.781,11,1989
36334,1989-12-01,31.375,-114.875,17.82,12,1989
36701,1990-01-01,31.375,-114.875,15.46806,1,1990
37068,1990-02-01,31.375,-114.875,14.7775,2,1990
37435,1990-03-01,31.375,-114.875,17.79871,3,1990
37802,1990-04-01,31.375,-114.875,20.68533,4,1990
38169,1990-05-01,31.375,-114.875,22.39355,5,1990
38536,1990-06-01,31.375,-114.875,25.19067,6,1990
38903,1990-07-01,31.375,-114.875,28.42903,7,1990
39270,1990-08-01,31.375,-114.875,30.24613,8,1990
39637,1990-09-01,31.375,-114.875,30.03533,9,1990
40004,1990-10-01,31.375,-114.875,26.79161,10,1990
40371,1990-11-01,31.375,-114.875,22.179,11,1990
40738,1990-12-01,31.375,-114.875,17.94903,12,1990
41105,1991-01-01,31.375,-114.875,15.53452,1,1991
41472,1991-02-01,31.375,-114.875,16.3225,2,1991
41839,1991-03-01,31.375,-114.875,17.46,3,1991
42206,1991-04-01,31.375,-114.875,19.619,4,1991
42573,1991-05-01,31.375,-114.875,22.52193,5,1991
42940,1991-06-01,31.375,-114.875,25.18867,6,1991
43307,1991-07-01,31.375,-114.875,28.12129,7,1991
43674,1991-08-01,31.375,-114.875,29.83193,8,1991
44041,1991-09-01,31.375,-114.875,29.48,9,1991
44408,1991-10-01,31.375,-114.875,28.12613,10,1991
44775,1991-11-01,31.375,-114.875,22.57033,11,1991
45142,1991-12-01,31.375,-114.875,17.80903,12,1991
45509,1992-01-01,31.375,-114.875,16.05,1,1992
45876,1992-02-01,31.375,-114.875,16.84034,2,1992
46243,1992-03-01,31.375,-114.875,18.86129,3,1992
46610,1992-04-01,31.375,-114.875,21.816,4,1992
46977,1992-05-01,31.375,-114.875,24.81226,5,1992
